text,option_1,option_2,option_3,option_4
Which of the two would be your preference: A lifetime supply of your favorite snack food or a 30-minute orgasm??,Duh. The 30-minute orgasm,Give me the Snacks!,,
"At what age is it appropriate to talk to your children about non-traditional relationships (e.g., homosexuality)?",Before 10,"After 10, before 17",18 or later,Never
"When you draw a picture, write a poem, or otherwise do something creative, are you shy about letting other people see it?",Sometimes,Rarely,Often,If I'm still learning the required skills
Do you believe dreams have hidden meanings to them?,Yes,No,,
Would you pretend to share an interest with someone you really liked as a way to gain favour with them?,Yes,No,,
"Is it better to live by your own moral standards and allow others to live by theirs, or is it better to press your moral standards upon other people?",Live and let live,Press those morals!,,
Your significant other is perfectly content with their minimum wage job and has no plans to look for more challenging/better paying work. Is this a problem?,"Yes, I wouldn't be able to tolerate that.","Somewhat, but it's their life.","No, I don't mind.",
Would you date someone with braces?,"Yes, braces are hot!",I'm not sure.,No way!  How uncool.,
Would you open your spouse's personal mail?,"We're a couple, who cares?","No, that's theirs to open.",,
Would you consider attending the wedding of a relative you haven't seen since childhood?,"Yes, no matter what.","No, they're not a part of my life anymore.","Depends on the circumstances. Distance, time, etc",
Are sex and intimacy the same thing?,Yes,No,,
An ex wants you to come over and hang out: a situation that is likely to lead to hooking back up with him or her.  Do you:,Go over: it's not like you haven't before,"Go, making sure things stay at 'friends only'",Don't go: can't risk it,Suggest you both go out with a group
How long do your romantic relationships usually last?,0-6 months,6-12 months,12+ months,I've never been in a relationship
"Someone offers to give you $100 if you *don't* vote in the next national election. (for example, the US President)  Do you take the money?",Yes,No,,
"On the job, which of these is most important to you:","A sense of calling, vocation, or higher purpose",a reliable network of friends and coworkers,"security, an ordered existence",stickin' it to the Man
"If you found out that your significant other had been in pornographic films, which of the following most closely describes your reaction?",Repulsion,Arousal,Indifference,
Foot fetish?,"Yes, I have a foot fetish!","No, I don't have a foot fetish",,
Is a tongue stud a turn-on?,Yes,No,,
Do you play or have you ever played a Massive Multiplayer Online Role Playing Game?,I enjoy playing them,I'm a recovering addict - never again,"No, but I'd like to try one",Not my type of thing / NO IDEA
Do you enjoy finding out what makes things work the way they do?,I'm an information sponge,Sometimes,"As long as it works, who cares why?",
Could you date someone with a significant Taoist lean in their outlook on life?,"Yes, I love the Tao Te Ching.","Sure, why not?","No, they'd be too laid back.",What the hell is Taoism?
"Would you prefer to have one true love forever, or lots of fun and meaningful relationships?",One true love,Lots of relationships,,
"Honestly, did you ever torture a cat, dog, or any other furry animal for pleasure?","Yes, but I regret it.",NO WAY!,"Yeah, that's fun.","No, but I would do it."
Straight women who kiss or fondle each other in clubs in the hopes of attracting men are...,Incredibly hot!,Just having some girlish fun.,Profoundly annoying.,
"You're in a serious, monogamous relationship when your partner gets offered their dream job overseas for three years.  They have decided that it's a chance they just can't pass up.  Which of these choices is most appealing to you?",Trying to arrange it so you can go with,Maintaining a long-distance relationship,"Staying friends, but dating around til they return",Breaking up and moving on
"You have a major crush on a good friend's significant other. This friend is having trouble in the relationship and asks you for advice, do you:",Give your friend honest advice?,"Seize the opportunity, suggesting a breakup?",Find a way around giving them any advice?,
Protesting for civil rights issues is...,... just for pretentious snobs who want attention.,"... necessary, but it's just not for me.","... somewhat important, but not for all issues.",... something that I actively participate in.
Which of these options most closely describes what you're looking for in your next relationship?,Someone to come home to,Someone to go out with,Someone for tonight,
When deciding what is right and wrong you are:,more emotional,more logical,Religion/faith determines it.,I am not sure/other reasons.
How's your English vocabulary?,"OK: bar, beer, party, & various cuss words.","High-brow: harlot, pertinent, polyglot, imbibe.","Copious: pulchritude, corvine, laconic, inveigh.","Choate: flavid, callipygian, tonitruous, fremitus."
"While in the middle of the best lovemaking of your life, if your lover asked you to squeal like a dolphin, would you?",Absolutely.,No way.,The best?  Maybe...,
Do you believe the state of Earth's climate is your personal responsibility?,"Yes, we are all to blame if something goes wrong.","No, that's the government's job.","No, I don't care.",Not sure.
Who would you rather compete against?,Someone less skilled than yourself,Someone evenly matched,Someone more skilled,
Would you date someone who wore a hearing aid?,Yes,No,Perhaps if it were small and difficult to notice.,
How do you feel about falling in love?,I love it and want it very much,I try to avoid it,I like to just let it happen,I'm indifferent / not sure
Do you like to celebrate holidays?,"Yes, I like to.","No, I don't like to",Depends which holiday it is,I have no preference
The diamond dependent economy of West Africa causes civil wars and crimes against humanity. Should people consider this when purchasing or receiving an engagement ring?,Yes,No,I'm Not Sure,I don't care
"When was your favorite book written? If you have more than one favorite, pick your favorite period of literature.",Pre-1700 (Renaissance/medieval/classical/ancient),"1700-1900 (Elizabethan, Romantic, Victorian, etc.)",1900-1945ish (Modern),1950s or later (Contemporary)
"If you took nude photos of your lover, would you give them the prints and negatives (or destroy them) if you broke up?",Yes,No,I'm Not Sure,
Do you feel guilty or bad after having sex?,Always,Sometimes,Never,I'm still a virgin.
"What is worse, being poor or alone?",Poor,Alone,,
Little white lies to make people feel better...,Are necessary,Are sometimes needed,Are wrong,
Is being 'in-style' with regards to fashion important to you?,"Yes, Extremely","Yeah, sometimes",Not really,No Way!
Compassion is:,A sign of strength,A sign of weakness,Neither,
You are arguing with someone and they start to act agressively. You:,Back down - you don't want violence,Ignore the signs and keep arguing,Get agressive right back at them,I'd have backed down way before that stage!
"Do you believe in an energy field that surrounds us that we can manipulate through reiki, acupuncture, chakra balancing, yoga, or some other system?","Yes, and I practice one/some of these.","Yes, but I don't practice any of these.","No, but I do practice one/some of these.","No, and I would never practice any of these."
Do you keep a budget (of your finances)?,Yes,No,Sometimes,
Would you continue dating someone who openly found your friends disgusting?,Yes,No,,
Are you comfortable with who you are?,Yes,No,,
What's the best conversation material for a first date?,"Jobs, pets, hobbies",What you want out of a relationship,"Goals, plans, wishes, hopes",Conversation?
In a relationship I like to discuss politics with my partner.,All the time!,Sure. I'm interested in sharing our beliefs.,Sometimes. It depends.,Hardly. Politics are boring or personal.
Which would you rather win?,A Nobel Prize,"A Grammy, Oscar, Tony, or Emmy","A Super Bowl, World Series, or sports championship",The Lottery
"When chatting with a potential friend/significant other online, is use of proper grammar and spelling important to you?",Yes,No,,
Would you put your elderly parent in a facility if it were possible that you could care for them at home?,Yes,No,I'm Not Sure,
How much of your love life do you tell your friends?,They know every detail.,They know a lot.,They know the basics.,They know nothing.
Would you say that you're the type of person who...,learns from their mistakes,sometimes continues bad habits,doesn't see the point in learning from them,doesn't make any mistakes
"Could you fall in love with someone that you had no initial physical interest in, if you got to know them and they had an amazing personality?",Yes,No,I'm Not Sure,
"Could you date / marry someone who made a living off the legal harm of others (cigarette company representative / gov't weapons developer, etc..)?",Yes,No,I'm Not Sure / Sometimes / Depends,
"Could you date someone who loved you with all their heart, and whom you liked a lot, but who was terrible in bed?",Yes,No,I'm Not Sure,
Do you think the standard of western morality has declined in the last thirty years?,"Yes, I yearn for better values.","No, things are better now.",Can't compare. Values are relative. / Don't know,
Do you space out or daydream a lot?,All the time,Rarely / never,Sometimes,
From which medium are you most likely to find out about new news stories?,Television,Newspaper,Radio,Online
Are you the kind of person that is known to use the sentence 'I don't care what other people think.',Yes,No,,
"Hypothetical: You are (romantically) interested in someone. After a few dates there is definitely chemistry. Since your last encounter, they've had a brief fling, but are still very interested in you. How do you feel?",I want nothing more to do with them...,"I'm unimpressed, but will give them a chance...",It really doesn't matter...,
Some people just don't deserve to be in a relationship -- agree or disagree?,Agree,Disagree,,
You're up against a nearly impossible challenge. Your ideal partner:,pushes you hard to succeed,reminds you to be realistic,"stands back, but comforts you if you fail",
How many times would a person have to turn you down before you took the hint?,Just the once.,I like to try a few times just to make sure.,After the 10th time I call it quits.,I'm relentless!
"Once you take a moral position, can anything be said or done to change your mind?","Yes, life is a big gray area anyway.","No, some things are just Right or Wrong.",Maybe. It depends on the issue.,"Maybe, but it would take a lot."
My hair is usually...,Very well groomed.,Given a good combing.,Intentionally unruly or unkempt.,Left untouched.
"Would you like to 'live hard, die fast, and leave a beautiful corpse'?",Yes,No,,
The survival of another species should be...,Our responsibility.,Unimportant.,Determined exclusively by natural selection.,Determined by its usefulness to humanity.
What's your opinion of the phrase 'making love' when it refers to sex?,It's beautiful.,It's hokey and overly sentimental.,It refers to a very specific kind of sex.,It's no better or worse than any other.
In a conversation are you usually...,Listening,Waiting to speak,,
If you saw a man knitting in public what would you think?,He's gay.,He's hot.,He's just secure in his masculinity.,He's weird.
Rate your self-confidence:,"Very, very high",Higher than average,Average,Below average
People who throw cigarette butts out of their car window...,Are not doing any real harm,Are being insensitive and/or rude,,
Could you ever date or associate with a person who was desperately unsure of themselves?,yes/probably,no/probably not,unsure/depends on the case,
Were you ever addicted to an illicit substance?,"Yes, I am still using","Yes, but I quit",No,
You're in a new relationship and your partner admits that they have had 14 sexual partners. Does that sound like a lot to you?,"Yes, and it makes me uncomfortable.","I guess, but It doesn't change how I feel.",That seems like an average number.,"No, that's nothing."
Genital piercings:,Make me hot,"Ouch, no thanks.",No opinion / Not sure,
"Those ___ want ___ go, ___.","two, to, too","to, to, to","too, two, to","two, too, too"
How willing would you be to sacrifice your life in order to save your country's Head of State (eg. Queen or President),I would do it without hesitation,It depends on the circumstances,I would never do it.,
"Would you have a 'Happy Button' installed on your body, connected to your brain, which would instantly make you very happy whenever you pressed it?",Yes,No,I'm not sure,
"How do you feel about 'straight edge' kids (kids who have made a movement out of not smoking, drinking, doing drugs, etc..)?",I think it's cool/respectable,They annoy the piss out of me,They don't bother me,
"Are you an intellectual? In the context of this question, intellectual means someone who loves learning, often for its own sake.",Yes,No,I find learning boring,
"It's your first date, do you split the bill, pay the whole bill yourself, have them pay the whole bill",Split the bill,Pay the whole bill,Have them pay the whole bill,"It doesn't matter to me, I'll be happy in any case"
Is it morally right for society to allow parents of children too young to make their own decisions to deny them the medical attention they require for survival for religious reasons?,"Yes, it is their child after all","No, absolutely not",I'm Not Sure,
"You see a mother breastfeeding at the mall.  For the most part she is covered, but you can tell what she is doing.  What is your reaction?",Gross!,How sweet!  What a good mom!,"No reaction, just keep shopping.",Sexy.
"As a general rule, do you think glasses make a person look smarter?",Yes,No,Depends on the person,
"Do you enjoy intellectual debates on topics like politics, religion, science or philosophy?",I love to argue!,Sometimes.,It's usually boring or annoying.,I'm not smart enough.
If you caught your child (or future child) smoking pot what would you do?,Try to talk and educate them,Send them for counseling,Whip their ass,Do Nothing/Ignore it
Do you pick up after yourself? Be honest.,Always.,"Yeah, when I have the time.","No, I live in filth.","No, my mom/roommate/partner mostly does it for me."
"If you really needed some cash, would you lie to get it?",Yes,No,I'm Not Sure,
Do you feel there are any circumstances in which a person is obligated to have sex with you?,Yes,No,,
Would you consider dating someone who's never been in a relationship before?,"Yes, that would be great","Yes, I think","I don't know, I don't think I could",No way!
"When you are at the movies with your date or your friends, how much talking does it take to make you upset?",No talking allowed upon the start of the film,Talking during and usually about the trailers,Little comments during the movie.,"Constant chatter, to you, others, or a cell phone"
Is satanism acceptable?,Sure,"Yes, it seems a bit immature though.","No, it is wrong.",I don't know/care.
What is your opinion concerning strip clubs?,I would be there every day of the week if I could.,They can be fun every once and a while.,I do not really have an opinion/never been to one.,They're gross/disgusting/insulting/other.
Does your culture/ethnicity/race play a large role in your identity?,It plays a crucial part in who I am,"It's interesting, but not really",Who I am is completely independent of my heritage,I'm adopted
"Let's say you've been happily married for around five years. Somehow, you find out that your spouse once robbed a bank and was never caught. Would you turn them over to the authorities?",Yes,No,,
"How often do you try new things (food, activities, music, whatever) that you've never tried before?","Several times per week, or more.",Several times per month.,Several times per year.,Rarely or never.
"Have you ever used LiveJournal, Tumblr, or any other blogging site?","Yes, I'm addicted","Yeah, once and a while.","No, what's all the hype about?",No way.
Do you enjoy flowers?,Yes,No,Flowers are a waste of time,
"Do you typically speak and write in a clear, precise manner?","Yes, almost always.","Yes, but only for classes/work.",It depends on my mood.,"Ha, my language is vague and messy."
Is your ideal match well-off financially (or at the very least someone who has high income potential)?,"Yes, it's very important.",It's somewhat important.,It's not very important,It's not important at all.
How long would you have to talk to someone online before you felt comfortable to meet?,I'd meet right away if their profile were cool,A few days,A few weeks,A few months [or never]
Do you prefer?,Slim Men/Women,Average Men/Women,Fuller Figured Men/Women,I Don't Care/Not Fussy
I would rather be....,"Unemployed, broke, but busy doing things I love",Working 60 hours a week at a job I like,Working regular hours at a job I hate,
If you were out to dinner and your date was a vegetarian would you still order meat?,Yes,No,I'm Not Sure/ I would ask them first,I'm vegetarian too
"Would you radically alter your appearance (hair, clothes, body modifications) for your significant other?",Yes,No way!,"I'm not sure, it depends...",
"How many people have you kissed that are not related to you, in a more than friendly way?",0,1-10,11-50,51+
What sounds most fun to you?,Playing videogames,Reading/Writing poetry,Watching TV,Hanging out with friends
"Suppose there exists an omnipotent God.  This God comes to you one day and says it is essential that he become human for the day and you take his place. At the end of the day, do you give God back his job, or remain God for some longer period of time?","Give it back, I couldn't usurp God's position","Give God back his job, I wouldn't want it","Stay God, I'd be an awesome omnipotent ruler","Stay God, I couldn't do much worse, could I?"
How do you feel when you see an attractive person whose sex you can't determine?,Turned on,Curious,Offended or disgusted,That's impossible!
Can just one person significantly change the world?,Yes,No,,
Board games?,What are board games?,"I love boardgames, let's go play.","Boardgames are okay, I guess.",I'd rather do something else.
Would you ideally like to be married within the next 3 years?,Yes,No,Possibly,I'm already married
"Which character best represents your personality?  (if you don't know/remember the characters, just go by the description)",Garfield - apathetic & sarcastic,Bugs Bunny - creative & versatile,Batman - quiet problem-solver,Mickey Mouse - cheery & energetic
The most important question to ask yourself when making a decision is...,Will everyone be happy?,Is it the right thing to do?,Will I get what I want?,
Have you ever used a fake ID to do or acquire something you were legally barred from as a result of your age?,Yes,No,,
Would you ever start a relationship with someone who was still living with an ex for financial reasons? Assume they slept in separate beds.,Yes,No,I'm Not Sure,
Can you sleep in the same room as someone who snores?,Yes,No,,
"Are you totally comfortable being naked around your lover, not just during sex?",Yes,No,,
Do you believe the government should be allowed to keep anything secret?,Never!,"Some things, yes.",,
Which cause is most appealing to you?,The enviroment,World peace,The economy,Eradicating all diseases from the earth
Is it important to you that your family approve of your relationships (both platonic and romantic)?,Yes,No,I'm Not Sure,
Which is most important to you in determining attractiveness?,Chest/Breasts,Butt/Legs,Face/Smile,Other
Do you like to play drinking games?,"Yes, they're totally sweet!","No, I think they're cheesy/lame","Not really, but I will on occasion","No, I don't drink"
Imagine you're having the perfect conversation with your ideal partner.  What are you doing?,Telling stories,Debating,Agreeing,Making plans
Do you more often get angry with yourself or with other people?,Myself,Others,,
"You go on a date with someone, and during the date you say you would like to go out again. The next day you change your mind. How do you let them know?",Call them and tell them you've changed your mind,"Wait for them to call you, and then tell them",Ignore all of their calls/e-mails/faxes to you,"Keep seeing them, but half-heartedly"
Do you have time for a committed relationship in your life at this point?,"Yes, absolutely",Probably not,No,
Do you find it fair that under national emergencies leaders are escorted to extreme safety while the majority of the public is at risk?,Yes,No,,
A child injures himself after trying to reenact a dangerous move he saw on a T.V. show.  Who should be held MOST responsible?,"The T.V. network, for airing the show.","The parents, for not supervising the child.","The child, for not realizing the danger.",I'm not sure
"If you had to pick one of the following types of people for a significant other, which would it be?",Wholesome,A little on the slutty side,Crazy and colorful,Dark and mysterious
Are you scared of the future?,"Yes, a lot","Yes, a little","No, not really","No, not at all"
How many countries have you visited?,I have never left the country I live in now.,Between 2 and 5 countries.,Between 6 and 10 countries.,More than 10 countries.
Do you have good posture?,Yes,No,"Sometimes, when the situation calls for it",
"Your signifigant other has a hobby that you find boring.  They're busy doing whatever it is they like to do, and you're bored.  What do you do?","Go do something I like, alone",Sit and watch to figure out why they like it.,"Sit and watch, resentful.",Bug them for attention.
You're out on the street and you encounter some people speaking a foreign language. What's your reaction?,"You're in our country, speak our language!",No big deal.,"Cool, what language are they speaking?","(in their language) Hi, how are you?"
Could you date someone who cannot speak your own language very well?,Yeah.  Accents are sexy anyway.,"No, we need to be able to communicate clearly",,
"Could you date someone related to someone responsible for heinous acts? For example, if he or she was the sibling of a convicted serial killer or descendent of a Nazi war criminal?",Yes,No,I'm Not Sure,
"If your spouse asked you to get a small discreet matching tatoo with them, would you?","Yes, Most Likely","Maybe, I would think about it","No, what if we divorced?","No, I disagree with tatoos"
What is your opinion about softcore pornography magazines such as Playboy and Playgirl?,Shows the beauty of the human body,Degrading to the models,Doesn't matter to me,
"Do you think it's okay for a female to get pregnant and then dump 'the biological father', intentionally using him to have a child?",Yes,No,,
Is the left or right hemisphere of your brain dominant?,Left (Science/Language/Logic/Reality),Right (Art/Philosophy/Emotion/Imagination),Both! My hemispheres are co-dominant!,I don't like this brain talk
"Many people who are homeless have jobs.  Assuming a person is not a substance abuser, do you think the law should punish their employers for not providing a living wage?",Yes,No,I'm Not Sure,
"Could you date someone who never, ever, threw anything away?","Yes, junk is cool",No,I don't know,
What type of humor do you enjoy most?,"Ribald, crude, debasing","Witty, tongue-in-cheek","Slapstick, physical, farce",Sarcastic
"When you break up with someone, do you tell them the real reason(s) or do you try to let them down as easy as possible?","Tell the truth, no matter how much it hurts.",Go easy on them - they'll hurt enough as it is.,I've never been the dump-er,
"Is it a requirement that you communicate every day with your significant other (via phone, text, in person, whatever)?","Yes, no matter what","Yes, unless otherwise specified","No, it's not necessary","No, I'd prefer not to communicate daily"
"A holiday or a birthday is coming up, your partner begins the rundown, not on what he/she wants, but the rules for choosing a gift (books are tacky, flowers show lack of thought, never clothing, etc.) Is this good or bad?",Good,Bad,,
How important is it to you to have your own unique 'thing' (like a weekly Girls' Night Out or Guys' Movie Night) that you don't share with your partner(s)?,Very - I need some ME time to be happy,Sort of - I need friends outside of my partner,Not much - I like sharing stuff with my partner,I'd prefer not to have exclusive things
"When you are angry or frustrated, do you ever throw, smash, kick, hit inanimate objects (non-living things)?","Yes, frequently",Sometimes,"Used to, but not any more",Never
Have you ever been to a sex shop?,Yes,No,,
How often are you influenced by peer pressure?,Often,Rarely,Sometimes,
Do you often find yourself wondering 'What the hell was I thinking when I did that?',"Yes, all the time.","Yes, sometimes.","No, never.",
Do you often make jokes that offend more uptight people?,Yes,No,,
"Two people both like you. One is more fun, the other is more stable.",I'd play my nights and days away - FUN!,I'm looking for something a serious - STABLE,,
"If your partner had a problem with gambling, drugs, or alcohol abuse, do you believe it would be your place to find them help, whether it would hurt or help your relationship?","Yes, it would be worth the risk to save them!","No, My partner can make his/her own decison",I wouldn't risk hurting our relationship,I do not care
If someone has a nice profile but doesnt look that great in their pictures would you still message them?,Yes,No,I'm Not Sure,
Have you ever gone 'warthogging'? (where 'warthogging'= a game where a group of friends compete to see who can pick up/ dance with/ have sex with the most unattractive person),"Yes, and I'd do it again.","Yes, but I'm not proud of it.","No, but I would like to.","No, and I would never do that."
Do you ever feel the need to get really drunk?,Often,Sometimes,Rarely,Never
"You come home and discover that somebody's broken into your house, and they're still inside.  You...",Find the handiest weapon and confront them,Call the police and let them handle it,"Spy on them from up the street, see where they go",Hurry to a neighbor's and get their help.
"In terms of sex, how experienced would your ideal mate be (with people other than you)?",Innocent (Virgin),Slightly Experienced,Moderately Experienced,Very Experienced
Consciousness is...,"Biological - Brain, senses.","Spiritual - Soul, heart, spirit.","A good topic for debate, my answer is too long.","A big, scary word."
"When on vacation/ holiday, do you generally:",Stay in a hostel/ budget hotel,Stay in a luxury hotel,Use a tent and sleeping bag,Not travel during vacations
Do you believe contraception is morally wrong?,Yes,No,,
How often do you wash your bath towel(s)?,After every use,Every couple uses,Occasionally / When it starts smelling,Rarely
Are you willing to wear uncomfortable clothes to look good?,Absolutely not,On very special occasions,Sometimes,Usually yes
Your significant other has been offered a grant from the scientific community to raise an ape in the household and teach it to communicate with humans. What is your reaction?,I won't stand in the way. I won't be involved.,No way.,What a great opportunity!,
"When I go out to eat, I go to a large chain restaurant:",Exclusively,Sometimes,Once in a while,Never
Do you have a hard time feeling happy when people around you are sad or upset?,Yes,Sometimes,No,
"Outside of work and school, how inclined are you to investigate something that interests you?",Very inclined,Somewhat inclined,Not inclined,
Are you squeamish about sharing food or beverages with the person you're dating?,Yes,No,Only at first,
How much can intelligence turn you on?,A lot!,A bit.,Intelligence does nothing for me either way.,Intelligence turns me off.
"Say you've started seeing someone you really like. As far as you're concerned, how long will it take before you have sex?",1-2 dates,3-5 dates,6 or more dates,Only after the wedding
How do you feel about nations spending billions of dollars on space exploration?,It's important for it's own sake.,The new technologies developed benefit everybody.,Problems here on earth are more urgent.,I don't care.
"You have just been unfairly laid off from work.  As you are leaving, you have an opportunity to steal something of value, and nobody would know.  Would you take it?",Yes,No,,
"When a dog licks your face, what is your reaction?",Ugh. Nasty.,Awww..how cute!,I'm Not Sure / Don't care,
"You've just met someone incredible while out with friends, and (s)he's been kind enough to cough up a phone number.  How long do you wait to call?",As soon as I get home!,Tomorrow.  I don't want to seem too eager.,The mandatory three days.  Duh.,"Eventually, when I feel like it..."
Would you be turned off by the idea of dating someone who has never been kissed?,Yes,No,Don't know,
It's better to have an open-relationship because there'll be cheating in monogamous relationships anyways.,TRUE,FALSE,,
Do you carry condoms?,Always,Sometimes,Rarely,Never
Which of the following would you rather have invented?,The Lightbulb,The Smallpox Vaccine,The Calculator,The Airplane
Do trees have souls?,Yes,No,,
Would you date a comic book geek?,Yes,No,,
Would you enjoy an 8-10 mile run with your significant other?,Yes,Maybe less mileage,I am not a runner,What?! Get up off my couch?
"Do you like to play with words? This includes making up riddles, puns, or even just making that perfect sentence for an essay.",Sure! I often 'letter' rip!,It can be fun,"No, I use language grudgingly.",Wot? Me no like righting!
Do you ever daydream of performing a heroic feat or be dramatically rescued for/by the person of your dreams?,Yes,No,I'm Not Sure,
"Do you freak out when you get a little upset? (i.e scream, yell and cry)",Yes,No,Only when no one is around,Only when someone is around
Do you mock religion?,"Yes, openly","Yes, to myself/with friends",No,
Which event sounds most appealing?,Sci-Fi Convention,Political Convention,Music Festival,New Years Eve in Times Square
Do you think drug use with your partner can be a romantic activity?,Yes,No,,
"Would you date someone who was currently in a relationship, knowing that you would 'be a secret?'","Sure, why not?",Depends on the person.,Absolutely NOT.,
A difference of opinion over which of the following topics would most likely make you think twice about dating someone?,Abortion,Politics,Death Penalty,None of these would.
Does it bother you when people say 'PIN number' or 'ATM machine'?,Yes!,"Well, a little","Nope, but I see why you're asking",Why would it?
What is the farthest you have/would go in a game of strip poker?,Underwear,Topless,All the way,Wouldn't even be playing.
Would you ever correct your partner for seriously misusing or mispronouncing a word?,Yes,No,,
"Is it okay to search your child's room, to make sure they aren't doing anything you don't want them to do?",Yes.,Only with probable cause.,"No, their right to privacy is too important.",
"If money were not an issue, would you have major cosmetic surgery on any part of your face or body?",Yes,No,,
Would you date someone who was very into fantasy novels?,Yes,Maybe,"No, what a geek!",
"Would it bother you if your boss was a minority, female, or gay?","Yes, one or more of those types bother me","Not really, but maybe",Not sure,No
"Hypothetically, if you had an unwanted child on the way, what would you do?",Abort it,Give it up for Adoption,Keep it regardless,
"If mind-altering drugs were proven to be good for your body and still got you high, would you take them?",Yes,No,Maybe,
"What haircolor, or shade, do you prefer?","Dark (Black, Brown, Auburn)","Light (Blonde, Light Brown, Red)","Other (Neon, Obviously Dyed)",I have no preference
"Do people tend to take you seriously, or usually think you're being sarcastic?",Serious,Sarcastic,,
"Do you think etiquette and table manner (fork left, knife right, etc.) still have value in modern society?",Yes,No,,
Suppose that all traces of organized religion were instantly wiped from human knowledge. What would happen afterwards?,Religion would return to the world as it is now,New religions/religious groups would take shape,Organized religion would not return at all,God would never allow this to happen
Is there at least one nude photo of you on the Net?,Yes,No,"Yes, but my face isn't visible",Not sure
Do you bring up STD results/risk factors before you start fooling around?,"No, not usually",Only when I suspect there might be risk involved,"Not always, but I always use condoms/barriers",Always.
Is it easy for you to achieve orgasm?,"Yes, with skill and sometimes patience","Yes, any time the wind picks up","No, and I find it somewhat frustrating","No, but don't worry, I'm enjoying myself"
Have you ever tasted your own sexual fluids?,Yes,"No, and I would never","No, but I would",
Can overweight people still be sexy?,Always,Yes,No,
Have you ever taken any pills hoping they would help you lose weight?,Yes,No,,
What kind of party would you rather throw?,Cocktail,Kegger,Dry,Orgy
You're dating someone new. You discover that they have a housemate the same sex as you. This:,Makes you feel uncomfortable,Doesn't faze you one bit,,
Could you date someone that might have to leave at a moments notice for work and be gone for a long period of time?,Yes,No,I'm Not Sure / Depends,
Do you like going to poetry readings?,Yes,Sometimes,Occasionally / I'd try it,No
Would you ever eat something out of the trash?,Yes,Maybe (if it's still good),No,
"Let's say you strongly want a certain attribute (e.g. non-smoker, good communicator/supporter, physically fit). Would you date someone who is changing (but needs time to fully change)?","Definitely, their effort counts a lot",Not sure / depends,No,
Which of these is more fascinating to you?,How big the universe is.,How small molecules are.,Both are fascinating to think about!,I don't think about that kind of stuff.
Do you think someone's faults/imperfections generally make them more attractive?,Yes,No,,
Are you the type of person to tell a homeless person to get a job?,Yes,No,,
How much do you spend per year for shoes?,Less than $100,$101 - $ 500,$501- $1000,More than a $1000
"If you really clicked with someone online and were meeting them in person, how would you greet them when you met them?",Say hi / shake their hand,Give them a friendly hug,Give them a kiss on the cheek,Start making out with them almost immediately
If your life as it stands right now were as good as it was ever going to get would you be okay with that?,Yes,No,,
Could you date someone androgynous (neither distinguishably masculine nor feminine)?,Yes,No,I'm Not Sure,
You have a chance to save the last members of an ancient human culture or the last breeding pair of an endangered species.  Whichever you do not save WILL die and will be lost forever.  Which one do you save?,The human culture,The endangered species,,
How frequently do you go out of your way to make others feel appreciated?,Way more than average,About average,Less than average / Never,
You wake up 20 minutes before your alarm is scheduled to go off. What do you do?,Get up,Go back to sleep till the alarm goes off,,
Do you believe that men should be the heads of their households?,Yes,No,,
Do you get along well with shy and socially awkward people?,Yes,No,,
"When planning future activities with your significant other(s), do you generally like to take the lead?","Yes, most of the time",Share equally,"No, I'm not a planner. Help!",
It's your first date with someone you recently met. At the end she/he says 'I think I love you.',Scary,Sweet,,
"You've been gone for a day, and didn't tell your boyfriend/girlfriend where you were, you come to find ten messages on your answering machine from him/her. You find this...",Unsettling,"A bit much, but understandable",Very sweet,I wouldn't think anything of it
I find myself in fights with authority figures...,Often,Rarely / never,,
How does the thought of someone masturbating with you in mind make you feel?,Shocked,Disgusted,Flattered,Aroused
Do you often find yourself worrying about things that you have no control over?,Yes,No,,
"Have you ever, when you are alone, secretly tried to move stuff with your mind?",Yes,No,YES!  And it Worked!,
What do you think about girls with shaved heads?,Cool!,Gross!,Doesn't make any difference to me...,
Commitment to personal growth is:,For wimps.,Critically important.,Sort of important,
"Do you believe that art and literature courses are important to students, even if they are majoring in other fields?","Yes, absolutely.","I like them, but don't know if they're important.","No, why waste their time?",
Would you date someone who was always optimistic?,Yes,No,,
"Could you marry someone for a reason other than love (e.g. money, citizenship, sex, fame)?",Yes,No,Not sure / maybe,
Do you believe your country would be more or less safe if every adult owned a gun?,More safe,Less safe,Neither / unsure,
Do you talk in your sleep?,Yes / Sometimes,No / Very Rarely,I'm Not Sure / Maybe,
It's Friday night and you're with a friend. Pick one:,A club or crowded party,A sporting event,A movie at the theater,A night at home chatting/gossiping
"Someone you are interested in sometimes becomes very emotional over forms of art (movies, music, poetry.) How does this make you feel?",They are a sissy,It's cool / ok,I am the same way,
"When using a computer, at a desk, do you:",Sit painfully erect,Have good posture,Slouch a bit,Slump on the desk
Is the following statement true? 'You can only truly love another if you love yourself.',Yes,No,I'm Not Sure,
"If a blind date used a coupon while paying for dinner, how would you feel?",Negative. That's tacky/cheap.,Positive. Very sensible.,I don't care either way.,
Do you find glasses on the opposite sex attractive?,Yes,No,No Preference,
"When having sex, do you like to have your hair pulled?","Yes, and hard!","Yes, but gently.",No way.,Don't know / Not sure.
Do you feel nauseated at the sight of blood?,"Yes, if it's someone else's.","Yes, if it's mine.",Yes to both above.,No
Are you fond of late night walks to no place in particular?,Yes,No,,
Which would you rather have more of?,Imagination,Knowledge,,
